time,X,Y
2018/12/15 03:00,#DbEbMbMbRb#Me#Cb#Re#CbRb#CeMe#Ce#Eb#EeRe#Rb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#CbRbRb#Me#CeReRe#Mb#Cb#EbEbMb#CeEe#Me#DeEeMe
2018/12/15 04:00,#DbEbEbFbMbMbRb#EeMe#Fe#Cb#Re#CbDbRb#CeDeMe#Eb#CeEe#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbMbMbRb#MeRe#CbRbRb#Me#CeReRe#EbEbMb#Ee#Cb#EbMb#CeDeEe#DbFb#De#Fe#Me#EeMe
2018/12/15 05:00,#DbEbEbEbFbMbMbRb#EeMe#EeFe#Re#CbRb#Me#Ce#Re#Rb#Ee#Mb#Mb#DeMeMeRe,#CbDbEbMbMbRb#EeMeRe#RbRb#Me#CeReRe#Mb#EbEbMb#Ee#Fb#Fe#Me#DeEeMe
2018/12/15 06:00,#DbEbEbEbFbMbMbRb#EeMe#EeFe#Cb#Re#DbRb#CeDeMe#Eb#Ee#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#EeMeRe#RbRb#Me#ReRe#EbMb#Ee#CbEb#EbMb#CeEe#DbFb#De#DeFeMe#EeMe
2018/12/15 07:00,#EbFbMbMbRb#Me#Fe#DbDb#Re#Rb#DeMe#Re#Rb#Mb#De#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Db#Mb#De#Fb#Fe#Me#EeMe
2018/12/15 08:00,#EbFbMbMbRb#Me#Fe#Db#Re#Rb#DeMe#EbFbFb#EeFeFe#Fb#Re#Rb#Fe#Mb#Mb#EeMeMeRe,#EbMbMbRb#MeRe#RbRb#Me#ReRe#FbMb#Fe#DbEbFb#Mb#DeEeFe#Fb#Fe#Me#Fb#EeFeMe
2018/12/15 09:00,#EbMbMbRb#Me#Re#Rb#Me#Fb#Re#Rb#Fe#Mb#Mb#EeMeMeRe,#EbMbMbRb#MeRe#RbRb#Me#ReRe#FbMb#Fe#Mb#Me#EeMe
2018/12/15 10:00,#EbMbMbRb#Me#Db#Re#EbRb#DeEeMe#Fb#Fe#Re#FbRb#Fe#Mb#Mb#EeMeMeRe,#EbMbMbRb#MeRe#RbRb#Me#ReRe#EbFbMb#EeFe#Db#FbMb#DeFe#Me#EeMe
2018/12/15 11:00,#DbMbMbRb#Me#Re#Rb#Me#Eb#Ee#Re#CbRb#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#CeEe#Mb#Me#DeMe
2018/12/15 12:00,#CbDbMbMbRb#Me#Cb#Re#Rb#Me#Eb#CeCeEe#Re#CbRb#Mb#Mb#CeDeMeMeRe,#CbCbDbMbMbRb#MeRe#RbRb#Me#CeReRe#EbMb#Ee#Cb#Mb#Ce#CeMe#DeMe
2018/12/15 13:00,#DbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#CbRb#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#CeEe#Cb#Mb#Ce#Me#DeMe
2018/12/15 14:00,#EbMbMbRb#Me#Re#DbRb#Me#FbFb#Fe#FeRe#GbRb#Fb#DeFe#FbFbMb#FeFe#FbMb#EeFeGeMeMeRe,#DbEbFbGbMbMbRb#FeMeRe#FbRbRb#DeFeMe#FbFb#FeReRe#FbMb#FeGe#Mb#Fe#Fb#Fe#Me#EeMe
2018/12/15 15:00,#FbGbMbMbRb#Me#Eb#Eb#Re#Rb#EeMe#Gb#Ge#Re#Rb#Ge#Mb#Mb#EeFeMeMeRe,#EbFbMbMbRb#MeRe#RbRb#Me#ReRe#GbMb#EeGe#Eb#Mb#Ee#Gb#Me#FeGeMe
2018/12/15 16:00,#FbGbMbMbRb#Me#Re#Rb#Me#Re#Rb#Mb#Mb#FeGeMeMeRe,#FbMbMbRb#MeRe#RbRb#Me#Gb#ReRe#Mb#Mb#Fe#Me#GeMe
2018/12/15 17:00,#FbMbMbRb#Me#EbGb#Re#Rb#EeMe#EbGb#Re#Rb#GeGe#Ee#Mb#Mb#FeMeMeRe,#EbFbMbMbRb#MeRe#RbRb#EeMe#ReRe#GbMb#Eb#Mb#EeGe#Gb#Me#FeGeMe
2018/12/15 18:00,#EbFbMbMbRb#Me#Eb#Re#Rb#EeMe#Gb#Re#Rb#Ge#Mb#Ee#Mb#FeMeMeRe,#EbFbMbMbRb#MeRe#RbRb#EeMe#Gb#ReRe#Mb#Eb#Mb#Ee#GeMe#FeMe
2018/12/15 19:00,#EbGbMbMbRb#Me#Fb#Fe#Fb#Re#FbRb#FeMe#Gb#Ge#Re#Rb#Mb#Ee#Mb#FeGeMeMeRe,#EbFbMbMbRb#MeRe#RbRb#Me#ReRe#GbGbMb#Ge#Fe#FbMb#EeFe#Fb#Fe#Me#GeMe
